id,province_code,province_en_name,province,area_name,area_name_slug
1,BGD,baghdad,بغداد,الشعب,BGD1
2,BGD,baghdad,بغداد,الحسينية,BGD2
3,BGD,baghdad,بغداد,زيونة,BGD3
4,BGD,baghdad,بغداد,الاعظمية,BGD4
5,BGD,baghdad,بغداد,الفحامة,BGD5
6,BGD,baghdad,بغداد,مدينة الصدر,BGD6
7,BGD,baghdad,بغداد,الجادرية,BGD7
8,BGD,baghdad,بغداد,حي اور,BGD8
9,BGD,baghdad,بغداد,باب المعظم,BGD9
10,BGD,baghdad,بغداد,المستنصرية,BGD10
11,BGD,baghdad,بغداد,النيل,BGD11
12,BGD,baghdad,بغداد,المهندسين,BGD12
13,BGD,baghdad,بغداد,حي 14 تموز,BGD13
14,BGD,baghdad,بغداد,الادريسي / الكرادة,BGD14
15,BGD,baghdad,بغداد,الوزيرية,BGD15
16,BGD,baghdad,بغداد,شارع المغرب,BGD16
17,BGD,baghdad,بغداد,القاهرة,BGD17
18,BGD,baghdad,بغداد,الكريعات,BGD18
19,BGD,baghdad,بغداد,سبع ابكار,BGD19
20,BGD,baghdad,بغداد,حي البنوك,BGD20
21,BGD,baghdad,بغداد,الصليخ,BGD21
22,BGD,baghdad,بغداد,حي تونس,BGD22
23,BGD,baghdad,بغداد,الحبيبية,BGD23
24,BGD,baghdad,بغداد,حي 9 نيسان,BGD24
25,BGD,baghdad,بغداد,الغدير,BGD25
26,BGD,baghdad,بغداد,شارع فلسطين,BGD26
27,BGD,baghdad,بغداد,بغداد الجديدة,BGD27
28,BGD,baghdad,بغداد,البلديات,BGD28
29,BGD,baghdad,بغداد,المشتل,BGD29
30,BGD,baghdad,بغداد,الرستمية,BGD30
31,BGD,baghdad,بغداد,الفضيلية,BGD31
32,BGD,baghdad,بغداد,الكمالية,BGD32
33,BGD,baghdad,بغداد,حي البتول,BGD33
34,BGD,baghdad,بغداد,حي النصر,BGD34
35,BGD,baghdad,بغداد,المعامل,BGD35
36,BGD,baghdad,بغداد,شارع الرشيد,BGD36
37,BGD,baghdad,بغداد,العبيدي,BGD37
38,BGD,baghdad,بغداد,حي الصدرين  / الكفاح,BGD38
39,BGD,baghdad,بغداد,حي الرشاد,BGD39
40,BGD,baghdad,بغداد,الكرادة,BGD40
41,BGD,baghdad,بغداد,الكرادة داخل,BGD41
42,BGD,baghdad,بغداد,الكرادة خارج,BGD42
43,BGD,baghdad,بغداد,العرصات,BGD43
44,BGD,baghdad,بغداد,كمب سارة,BGD44
45,BGD,baghdad,بغداد,شارع معسكر الرشيد,BGD45
46,BGD,baghdad,بغداد,معسكر الرشيد,BGD46
47,BGD,baghdad,بغداد,الزعفرانية,BGD47
48,BGD,baghdad,بغداد,شارع الربيعي,BGD48
49,BGD,baghdad,بغداد,الشواكة,BGD49
50,BGD,baghdad,بغداد,شارع حيفا,BGD50
51,BGD,baghdad,بغداد,الشيخ معروف,BGD51
52,BGD,baghdad,بغداد,الشالجية,BGD52
53,BGD,baghdad,بغداد,الصالحية,BGD53
54,BGD,baghdad,بغداد,كرادة مريم,BGD54
55,BGD,baghdad,بغداد,الحارثية,BGD55
56,BGD,baghdad,بغداد,متنزه الزوراء,BGD56
57,BGD,baghdad,بغداد,مطار المثنى,BGD57
58,BGD,baghdad,بغداد,الكاظمية,BGD58
59,BGD,baghdad,بغداد,العطيفية,BGD59
60,BGD,baghdad,بغداد,علي الصالح,BGD60
61,BGD,baghdad,بغداد,الشعلة,BGD61
62,BGD,baghdad,بغداد,الحرية,BGD62
63,BGD,baghdad,بغداد,الحرية الاولى,BGD63
64,BGD,baghdad,بغداد,الحرية الثانية,BGD64
65,BGD,baghdad,بغداد,الحرية الثالثة,BGD65
66,BGD,baghdad,بغداد,دباش,BGD66
67,BGD,baghdad,بغداد,الدولعي,BGD67
68,BGD,baghdad,بغداد,المنصور,BGD68
69,BGD,baghdad,بغداد,القادسية,BGD69
70,BGD,baghdad,بغداد,الوشاش,BGD70
71,BGD,baghdad,بغداد,الاسكان,BGD71
72,BGD,baghdad,بغداد,اليرموك,BGD72
73,BGD,baghdad,بغداد,مجمع السفارات,BGD73
74,BGD,baghdad,بغداد,العامرية,BGD74
75,BGD,baghdad,بغداد,حي الخضراء,BGD75
76,BGD,baghdad,بغداد,حي الجامعة,BGD76
77,BGD,baghdad,بغداد,حي العدل,BGD77
78,BGD,baghdad,بغداد,الغزالية,BGD78
79,BGD,baghdad,بغداد,مطار بغداد,BGD79
80,BGD,baghdad,بغداد,ابو غريب,BGD80
81,BGD,baghdad,بغداد,مصفى الدورة,BGD81
82,BGD,baghdad,بغداد,الدورة,BGD82
83,BGD,baghdad,بغداد,السيدية,BGD83
84,BGD,baghdad,بغداد,السويب,BGD84
85,BGD,baghdad,بغداد,حي العامل,BGD85
86,BGD,baghdad,بغداد,حي الجهاد,BGD86
87,BGD,baghdad,بغداد,البياع,BGD87
88,BGD,baghdad,بغداد,حي الشرطة,BGD88
